,category,model,model_year,manufacturer,fuel,all_electric_range,PHEV_total_range,alternative_fuel_economy_city,alternative_fuel_economy_highway,alternative_fuel_economy_combined,conventional_fuel_economy_city,conventional_fuel_economy_highway,conventional_fuel_economy_combined
542,Sedan/Wagon,Taycan 4S Perf Battery Plus,2021,Porsche,Electric,227.0,,75.0,81.0,77.0,,,
543,Sedan/Wagon,Taycan Perf Battery,2021,Porsche,Electric,200.0,,76.0,84.0,79.0,,,
544,Sedan/Wagon,Taycan Perf Battery Plus,2021,Porsche,Electric,225.0,,71.0,80.0,75.0,,,
545,Sedan/Wagon,Taycan Turbo,2021,Porsche,Electric,212.0,,71.0,75.0,73.0,,,
546,Sedan/Wagon,Taycan Turbo S,2021,Porsche,Electric,201.0,,69.0,71.0,70.0,,,
547,Pickup,1500 2WD,2021,Ram,Hybrid Electric,,,,,,20.0,25.0,22.0
548,Pickup,1500 2WD,2021,Ram,Hybrid Electric,,,,,,17.0,23.0,19.0
549,Pickup,1500 4WD,2021,Ram,Hybrid Electric,,,,,,19.0,24.0,21.0
550,Pickup,1500 4WD,2021,Ram,Hybrid Electric,,,,,,17.0,22.0,19.0
551,Pickup,1500 HFE 4X2,2021,Ram,Hybrid Electric,,,,,,20.0,26.0,23.0
552,SUV,Crosstrek Hybrid AWD,2021,Subaru,Plug-in Hybrid Electric,17.0,,,,90.0,36.0,35.0,35.0
553,Sedan/Wagon,Model 3 Long Range AWD,2021,Tesla,Electric,353.0,,141.0,127.0,134.0,,,
554,Sedan/Wagon,Model 3 Performance AWD,2021,Tesla,Electric,315.0,,118.0,107.0,113.0,,,
555,Sedan/Wagon,Model 3 Standard Range Plus RWD,2021,Tesla,Electric,263.0,,150.0,133.0,142.0,,,
556,Sedan/Wagon,Model S Long Range,2021,Tesla,Electric,405.0,,124.0,115.0,120.0,,,
557,Sedan/Wagon,"Model S Performance (19"" Wheels)",2021,Tesla,Electric,387.0,,114.0,106.0,110.0,,,
558,Sedan/Wagon,"Model S Plaid (21"" Wheels)",2021,Tesla,Electric,348.0,,102.0,99.0,101.0,,,
559,SUV,Model X Long Range Plus,2021,Tesla,Electric,371.0,,109.0,101.0,105.0,,,
560,SUV,"Model X Performance (20"" Wheels)",2021,Tesla,Electric,341.0,,100.0,95.0,97.0,,,
561,SUV,Model Y Long Range AWD,2021,Tesla,Electric,326.0,,131.0,117.0,125.0,,,
562,SUV,Model Y Performance AWD,2021,Tesla,Electric,303.0,,115.0,106.0,111.0,,,
563,SUV,Model Y Standard Range RWD,2021,Tesla,Electric,244.0,,140.0,119.0,129.0,,,
564,Sedan/Wagon,Avalon Hybrid,2021,Toyota,Hybrid Electric,,,,,,43.0,43.0,43.0
565,Sedan/Wagon,Avalon Hybrid XLE,2021,Toyota,Hybrid Electric,,,,,,43.0,44.0,44.0
566,Sedan/Wagon,Camry Hybrid LE,2021,Toyota,Hybrid Electric,,,,,,51.0,53.0,52.0
567,Sedan/Wagon,Camry Hybrid SE/XLE/XSE,2021,Toyota,Hybrid Electric,,,,,,44.0,47.0,46.0
568,Sedan/Wagon,Corolla Hybrid,2021,Toyota,Hybrid Electric,,,,,,53.0,52.0,52.0
569,SUV,Highlander Hybrid,2021,Toyota,Hybrid Electric,,,,,,36.0,35.0,36.0
570,SUV,Highlander Hybrid AWD,2021,Toyota,Hybrid Electric,,,,,,35.0,35.0,35.0
571,SUV,Highlander Hybrid AWD LTD/PLAT,2021,Toyota,Hybrid Electric,,,,,,35.0,34.0,35.0
572,Sedan/Wagon,Mirai Limited,2021,Toyota,Hydrogen Fuel Cell,,,67.0,64.0,65.0,,,
573,Sedan/Wagon,Mirai XLE,2021,Toyota,Hydrogen Fuel Cell,,,74.0,70.0,72.0,,,
574,Sedan/Wagon,Prius,2021,Toyota,Hybrid Electric,,,,,,54.0,50.0,52.0
575,Sedan/Wagon,Prius AWD,2021,Toyota,Hybrid Electric,,,,,,51.0,47.0,49.0
576,Sedan/Wagon,Prius Eco,2021,Toyota,Hybrid Electric,,,,,,58.0,53.0,56.0
577,Sedan/Wagon,Prius Prime,2021,Toyota,Plug-in Hybrid Electric,25.0,,,,133.0,55.0,53.0,54.0
578,SUV,RAV4 Hybrid AWD,2021,Toyota,Hybrid Electric,,,,,,41.0,38.0,40.0
579,Sedan/Wagon,RAV4 Prime AWD,2021,Toyota,Plug-in Hybrid Electric,42.0,,,,94.0,40.0,36.0,38.0
580,Van,Sienna,2021,Toyota,Hybrid Electric,,,,,,36.0,36.0,36.0
581,Van,Sienna AWD,2021,Toyota,Hybrid Electric,,,,,,35.0,36.0,35.0
582,SUV,Venza AWD,2021,Toyota,Hybrid Electric,,,,,,40.0,37.0,39.0
583,SUV,ID.4 1st,2021,Volkswagen,Electric,250.0,,104.0,89.0,97.0,,,
584,SUV,ID.4 AWD Pro,2021,Volkswagen,Electric,249.0,,102.0,90.0,97.0,,,
585,SUV,ID.4 Pro,2021,Volkswagen,Electric,260.0,,107.0,91.0,99.0,,,
586,SUV,ID.4 Pro S,2021,Volkswagen,Electric,250.0,,104.0,89.0,97.0,,,
587,SUV,ID.4 Pro S AWD ,2021,Volkswagen,Electric,240.0,,98.0,88.0,93.0,,,
588,Sedan/Wagon,S60 AWD,2021,Volvo,Plug-in Hybrid Electric,22.0,,,,69.0,28.0,33.0,30.0
589,Sedan/Wagon,S90 AWD,2021,Volvo,Plug-in Hybrid Electric,21.0,,,,60.0,28.0,31.0,30.0
590,SUV,V60 AWD,2021,Volvo,Plug-in Hybrid Electric,22.0,,,,69.0,28.0,33.0,30.0
591,SUV,XC40 Recharge,2021,Volvo,Electric,208.0,,85.0,72.0,79.0,,,
592,SUV,XC60 AWD,2021,Volvo,Plug-in Hybrid Electric,19.0,,,,57.0,26.0,28.0,27.0
593,SUV,XC90 AWD,2021,Volvo,Plug-in Hybrid Electric,18.0,,,,55.0,26.0,28.0,27.0
594,Street Sweeper,ACMD-Xpert,,Autocar,LNG - Liquified Natural Gas|CNG - Compressed Natural Gas,,,,,,,,
595,Refuse,ACMD-Xpert,,Autocar,CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,,,,,,,,
596,Vocational/Cab Chassis,ACMD-Xpert,,Autocar,CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,,,,,,,,
597,Tractor,ACTT Terminal Tractor,,Autocar,LNG - Liquified Natural Gas|CNG - Compressed Natural Gas,,,,,,,,
598,Tractor,ACTT Terminal Tractor,,Autocar,Electric,,,,,,,,
599,Vocational/Cab Chassis,ACX-Xpeditor  - Class 8,,Autocar,CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,,,,,,,,
600,Refuse,ACX-Xpeditor ,,Autocar,LNG - Liquified Natural Gas|CNG - Compressed Natural Gas,,,,,,,,
601,Street Sweeper,ACX-Xpeditor ,,Autocar,CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,,,,,,,,
602,Vocational/Cab Chassis,DC-64 - Class 8,,Autocar,LNG - Liquified Natural Gas|CNG - Compressed Natural Gas,,,,,,,,
603,Refuse,DC-64R - Class 8,,Autocar,CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,,,,,,,,
604,Vocational/Cab Chassis,LET2,,Battle Motors,Electric,,,,,,,,
605,Vocational/Cab Chassis,LET2,,Battle Motors,CNG - Compressed Natural Gas,,,,,,,,
606,Vocational/Cab Chassis,LET2 Crew Cab,,Battle Motors,CNG - Compressed Natural Gas,,,,,,,,
607,Vocational/Cab Chassis,LNT,,Battle Motors,CNG - Compressed Natural Gas,,,,,,,,
608,Vocational/Cab Chassis,LNT,,Battle Motors,Electric,,,,,,,,
609,Passenger Van/Shuttle Bus,All American Activity,,Blue Bird,CNG - Compressed Natural Gas,,,,,,,,
610,School Bus,All American Rear Engine - Class 7,,Blue Bird,CNG - Compressed Natural Gas,,,,,,,,
611,School Bus,All American RE Electric,,Blue Bird,Electric,,,,,,,,
612,Passenger Van/Shuttle Bus,All American RE Electric Activity,,Blue Bird,Electric,,,,,,,,
613,Passenger Van/Shuttle Bus,Micro Bird Activity G5 Electric,,Blue Bird,Electric,,,,,,,,
614,School Bus,Micro Bird G5 - Class 3,,Blue Bird,Propane,,,,,,,,
615,Passenger Van/Shuttle Bus,Micro Bird G5 Activity,,Blue Bird,Propane,,,,,,,,
616,School Bus,Micro Bird G5 Electric,,Blue Bird,Electric,,,,,,,,
617,School Bus,Vision - Class 7,,Blue Bird,Propane,,,,,,,,
618,Passenger Van/Shuttle Bus,Vision Activity,,Blue Bird,Propane|CNG - Compressed Natural Gas,,,,,,,,
619,School Bus,Vision Electric,,Blue Bird,Electric,,,,,,,,
620,Passenger Van/Shuttle Bus,Vision Electric Activity,,Blue Bird,Electric,,,,,,,,
621,Vocational/Cab Chassis,6F,,BYD,Electric,,,,,,,,
622,Refuse,6R,,BYD,Electric,,,,,,,,
623,Refuse,8R,,BYD,Electric,,,,,,,,
624,Tractor,8TT Day Cab,,BYD,Electric,,,,,,,,
625,Tractor,8Y Terminal Tractor,,BYD,Electric,,,,,,,,
626,Passenger Van/Shuttle Bus,C10M (45'),,BYD,Electric,,,,,,,,
627,Transit Bus,C10MS (45' double deck),,BYD,Electric,,,,,,,,
628,Passenger Van/Shuttle Bus,C6M (23'),,BYD,Electric,,,,,,,,
629,Passenger Van/Shuttle Bus,C8M (35'),,BYD,Electric,,,,,,,,
630,Transit Bus,C8MS (35' double deck),,BYD,Electric,,,,,,,,
631,Passenger Van/Shuttle Bus,C9M (40'),,BYD,Electric,,,,,,,,
632,Transit Bus,K11M (60'),,BYD,Electric,,,,,,,,
633,Transit Bus,K7M (30'),,BYD,Electric,,,,,,,,
634,Transit Bus,K7M ER (30'),,BYD,Electric,,,,,,,,
635,Transit Bus,K8M (35'),,BYD,Electric,,,,,,,,
636,Transit Bus,K9M (40'),,BYD,Electric,,,,,,,,
637,Transit Bus,K9MD (40'),,BYD,Electric,,,,,,,,
638,Vocational/Cab Chassis,3500/4500 Low Cab Forward,,Chevrolet,Ethanol (E85),,,,,,,,
639,Vocational/Cab Chassis,"4500 HD, 4500 XD, 5500 HD, 5500 XD Low Cab Forward",,Chevrolet,Biodiesel (B20),,,,,,,,
640,Vocational/Cab Chassis,6500 XD Low Cab Forward,,Chevrolet,Biodiesel (B20),,,,,,,,
641,Passenger Van/Shuttle Bus,Express 2500/3500,,Chevrolet,Ethanol (E85),,,,,,,,
642,Van,Express 2500/3500,,Chevrolet,Ethanol (E85),,,,,,,,
643,Van,Express 2500/3500,,Chevrolet,Biodiesel (B20),,,,,,,,
644,Passenger Van/Shuttle Bus,Express 2500/3500,,Chevrolet,Biodiesel (B20),,,,,,,,
645,Vocational/Cab Chassis,Express 3500/4500 Cutaway,,Chevrolet,Ethanol (E85),,,,,,,,
646,Vocational/Cab Chassis,Silverado 3500 HD Cab Chassis,,Chevrolet,Biodiesel (B20),,,,,,,,
647,Pickup,Sliverado 2500/3500 HD,,Chevrolet,Biodiesel (B20),,,,,,,,
648,Transit Bus,e.COBUS 2700,,COBUS Industries,Electric,,,,,,,,
649,Transit Bus,e.COBUS 2700S,,COBUS Industries,Electric,,,,,,,,
650,Transit Bus,e.COBUS 3000,,COBUS Industries,Electric,,,,,,,,
651,School Bus,Type A Electric School Bus (DE516),,Collins Bus Corp.,Electric,,,,,,,,
652,School Bus,Type A Electric School Bus (DE516WF),,Collins Bus Corp.,Electric,,,,,,,,
653,Street Sweeper,Broom Bear,,Elgin,CNG - Compressed Natural Gas,,,,,,,,
654,Street Sweeper,Broom Bear CNG Hybrid,,Elgin,CNG - Compressed Natural Gas|Plug-in Hybrid Electric,,,,,,,,
655,Street Sweeper,Broom Bear Plug-In Hybrid,,Elgin,Plug-in Hybrid Electric,,,,,,,,
656,Street Sweeper,Crosswind1,,Elgin,CNG - Compressed Natural Gas,,,,,,,,
657,Street Sweeper,Pelican,,Elgin,CNG - Compressed Natural Gas,,,,,,,,
658,Transit Bus,AXESS 32' low floor,,ENC,Diesel/Hybrid Electric,,,,,,,,
659,Transit Bus,AXESS 32' low floor,,ENC,LNG - Liquified Natural Gas|CNG - Compressed Natural Gas,,,,,,,,
660,Transit Bus,AXESS 35' low floor,,ENC,Diesel/Hybrid Electric,,,,,,,,
661,Transit Bus,AXESS 35' low floor,,ENC,CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,,,,,,,,
662,Transit Bus,AXESS 40' low floor,,ENC,Diesel/Hybrid Electric,,,,,,,,
663,Transit Bus,AXESS 40' low floor,,ENC,CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,,,,,,,,
664,Transit Bus,Axess-BEB 32' low floor,,ENC,Electric,,,,,,,,
665,Transit Bus,Axess-BEB 35' low floor,,ENC,Electric,,,,,,,,
666,Transit Bus,Axess-BEB 40' low floor,,ENC,Electric,,,,,,,,
667,Transit Bus,AXESS-FC 40' low floor,,ENC,Hydrogen Fuel Cell,,,,,,,,
668,Transit Bus,E-Z RIDER II 30',,ENC,Diesel/Hybrid Electric,,,,,,,,
669,Transit Bus,E-Z RIDER II 30',,ENC,LNG - Liquified Natural Gas|CNG - Compressed Natural Gas,,,,,,,,
670,Transit Bus,E-Z RIDER II 32',,ENC,Diesel/Hybrid Electric,,,,,,,,
671,Transit Bus,E-Z RIDER II 32',,ENC,CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,,,,,,,,
672,Transit Bus,E-Z RIDER II 35',,ENC,Diesel/Hybrid Electric,,,,,,,,
673,Transit Bus,E-Z RIDER II 35',,ENC,LNG - Liquified Natural Gas|CNG - Compressed Natural Gas,,,,,,,,
674,Transit Bus,XHF 29',,ENC,CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,,,,,,,,
675,Transit Bus,XHF 33',,ENC,CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,,,,,,,,
676,Transit Bus,XHF 35',,ENC,LNG - Liquified Natural Gas|CNG - Compressed Natural Gas,,,,,,,,
677,Transit Bus,XHF 40',,ENC,CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,,,,,,,,
678,Vocational/Cab Chassis,"E350, E450 Cutaway",,Ford,Propane - Bi-fuel|CNG - Bi-fuel|Propane|CNG - Compressed Natural Gas|Ethanol (E85),,,,,,,,
679,Vocational/Cab Chassis,"E350, E450 Cutaway",,Ford,Hybrid Electric,,,,,,,,
680,Vocational/Cab Chassis,"E350, E450 Stripped Chassis",,Ford,Propane - Bi-fuel|Propane|CNG - Bi-fuel|Ethanol (E85)|CNG - Compressed Natural Gas,,,,,,,,
681,Vocational/Cab Chassis,"E350, E450 Stripped Chassis",,Ford,Hybrid Electric,,,,,,,,
682,Vocational/Cab Chassis,E-450 Box Truck,,Ford,Electric,,,,,,,,
683,Vocational/Cab Chassis,E450 Cutaway,,Ford,Electric,,,,,,,,
684,School Bus,E-450 School Bus,,Ford,Electric,,,,,,,,
685,Passenger Van/Shuttle Bus,E-450 Shuttle,,Ford,Electric,,,,,,,,
686,Step Van,E-450 Step Van,,Ford,Electric,,,,,,,,
687,Vocational/Cab Chassis,E450 Stripped Chassis,,Ford,Electric,,,,,,,,
688,Vocational/Cab Chassis,E-450 Work Truck,,Ford,Electric,,,,,,,,
689,Van,E-Transit Cargo Van,,Ford,Electric,,,,,,,,
690,Vocational/Cab Chassis,E-Transit Cutaway/Chassis Cab,,Ford,Electric,,,,,,,,
691,Passenger Van/Shuttle Bus,F-550 Bus,,Ford,Electric,,,,,,,,
692,School Bus,F-59 School Bus,,Ford,Electric,,,,,,,,
693,Passenger Van/Shuttle Bus,F-59 Shuttle Bus,,Ford,Electric,,,,,,,,
694,Step Van,F-59 Step Van,,Ford,Electric,,,,,,,,
695,Vocational/Cab Chassis,F-59 Stripped Chassis,,Ford,CNG - Compressed Natural Gas|Propane - Bi-fuel|E85/Hybrid Electric|CNG - Bi-fuel|Propane,,,,,,,,
696,Vocational/Cab Chassis,F-59 Stripped Chassis,,Ford,Electric,,,,,,,,
697,Vocational/Cab Chassis,F-59 Stripped Chassis,,Ford,Hybrid Electric,,,,,,,,
698,Vocational/Cab Chassis,F-650 Box Truck,,Ford,Electric,,,,,,,,
699,Vocational/Cab Chassis,"Medium Duty Chassis Cab F650, F750",,Ford,CNG - Bi-fuel|Ethanol (E85)|CNG - Compressed Natural Gas|Propane|Propane - Bi-fuel,,,,,,,,
700,Vocational/Cab Chassis,"Medium Duty Chassis Cab F650, F750",,Ford,Biodiesel (B20),,,,,,,,
701,Vocational/Cab Chassis,Super Duty Chassis Cab F350,,Ford,Ethanol (E85),,,,,,,,
702,Vocational/Cab Chassis,"Super Duty Chassis Cab F350, F450, F550",,Ford,Propane - Bi-fuel|Propane|CNG - Compressed Natural Gas|CNG - Bi-fuel,,,,,,,,
703,Vocational/Cab Chassis,"Super Duty Chassis Cab F350, F450, F550",,Ford,Biodiesel (B20),,,,,,,,
704,Vocational/Cab Chassis,"Super Duty Chassis Cab F350, F450, F550",,Ford,Hybrid Electric,,,,,,,,
705,Pickup,"Super Duty F250, F350, F450",,Ford,CNG - Bi-fuel|Ethanol (E85)|CNG - Compressed Natural Gas|Propane|Propane - Bi-fuel,,,,,,,,
706,Pickup,"Super Duty F250, F350, F450",,Ford,Biodiesel (B20),,,,,,,,
707,Pickup,"Super Duty F250, F350, F450",,Ford,Hybrid Electric,,,,,,,,
708,Pickup,"Super Duty F250, F350, F450",,Ford,Plug-in Hybrid Electric,,,,,,,,
709,Van,Transit 250/350 Cargo Van,,Ford,Ethanol (E85),,,,,,,,
710,Van,Transit 250/350 Cargo Van,,Ford,Electric,,,,,,,,
711,Van,Transit 250/350 Cargo Van,,Ford,Hybrid Electric,,,,,,,,
712,Passenger Van/Shuttle Bus,Transit 250/350 Passenger Van,,Ford,Electric,,,,,,,,
713,Passenger Van/Shuttle Bus,Transit 250/350 Passenger Van,,Ford,Ethanol (E85),,,,,,,,
714,Passenger Van/Shuttle Bus,Transit 250/350 Passenger Van,,Ford,Hybrid Electric,,,,,,,,
715,Vocational/Cab Chassis,"Transit CC-CA 250, 350",,Ford,Hybrid Electric,,,,,,,,
716,Vocational/Cab Chassis,"Transit CC-CA 250, 350",,Ford,Electric,,,,,,,,
717,Vocational/Cab Chassis,Transit Cutaway/Chassis Cab,,Ford,Ethanol (E85),,,,,,,,
718,Vocational/Cab Chassis,114SD NG - Class 8,,Freightliner,CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,,,,,,,,
719,Tractor,Cascadia Natural Gas,,Freightliner,CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,,,,,,,,
720,TractorVocational/Cab Chassis,M2 112 NG,,Freightliner,CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,,,,,,,,
721,Vocational/Cab Chassis,MT-45 G Chassis - Class 4,,Freightliner Custom Chassis,Propane|CNG - Compressed Natural Gas,,,,,,,,
722,Vocational/Cab Chassis,MT-50e,,Freightliner Custom Chassis,Electric,,,,,,,,
723,Vocational/Cab Chassis,MT-55 G Chassis,,Freightliner Custom Chassis,Propane|CNG - Compressed Natural Gas,,,,,,,,
724,Vocational/Cab Chassis,S2G Truck - Class 6,,Freightliner Custom Chassis,Propane,,,,,,,,
725,Vocational/Cab Chassis,eCanter,,FUSO,Electric,,,,,,,,
726,Transit Bus,"BRT, BRT Plus, Commuter",,Gillig,CNG - Compressed Natural Gas,,,,,,,,
727,Transit Bus,"BRT, BRT Plus, Commuter",,Gillig,Diesel/Hybrid Electric,,,,,,,,
728,Transit Bus,"Low Floor, Low Floor Plus",,Gillig,CNG - Compressed Natural Gas,,,,,,,,
729,Transit Bus,"Low Floor, Low Floor Plus",,Gillig,Diesel/Hybrid Electric,,,,,,,,
730,Transit Bus,Low Floor Plus,,Gillig,Electric,,,,,,,,
731,Transit Bus,Trolley,,Gillig,Diesel/Hybrid Electric,,,,,,,,
732,Transit Bus,Trolley,,Gillig,CNG - Compressed Natural Gas,,,,,,,,
733,Street Sweeper,M3EV - Class 7,,Global,Electric,,,,,,,,
734,Street Sweeper,M4EV - Class 7,,Global,Electric,,,,,,,,
735,Street Sweeper,M4 Hybrid,,Global,Diesel/Hybrid Electric,,,,,,,,
736,Street Sweeper,M4/M4HSD CNG,,Global,CNG - Compressed Natural Gas,,,,,,,,
737,Street Sweeper,M4ZE/M4HSDZE - Class 7,,Global,Hydrogen Fuel Cell,,,,,,,,
738,Van,Zevo 600,,GM BrightDrop,Electric,,,,,,,,
739,Passenger Van/Shuttle Bus,Savana 2500/3500,,GMC,Ethanol (E85),,,,,,,,
740,Passenger Van/Shuttle Bus,Savana 2500/3500,,GMC,Biodiesel (B20),,,,,,,,
741,Van,Savana 2500/3500,,GMC,Ethanol (E85),,,,,,,,
742,Van,Savana 2500/3500,,GMC,Biodiesel (B20),,,,,,,,
743,Vocational/Cab Chassis,Savana 3500/4500 Cutaway,,GMC,Ethanol (E85),,,,,,,,
744,Pickup,Sierra 2500/3500 HD,,GMC,Biodiesel (B20),,,,,,,,
745,Vocational/Cab Chassis,Sierra 3500 HD Cab Chassis,,GMC,Biodiesel (B20),,,,,,,,
746,Vocational/Cab Chassis,"G1, G2",,Greenkraft,Propane|CNG - Compressed Natural Gas,,,,,,,,
747,Vocational/Cab Chassis,"G3, G4",,Greenkraft,Propane|CNG - Compressed Natural Gas,,,,,,,,
748,Passenger Van/Shuttle Bus,AV Star,,GreenPower Motor Company,Electric,,,,,,,,
749,School Bus,BEAST,,GreenPower Motor Company,Electric,,,,,,,,
750,Transit Bus,EV250,,GreenPower Motor Company,Electric,,,,,,,,
751,Transit Bus,EV350,,GreenPower Motor Company,Electric,,,,,,,,
752,Transit Bus,EV550,,GreenPower Motor Company,Electric,,,,,,,,
753,Passenger Van/Shuttle Bus,EV Star,,GreenPower Motor Company,Electric,,,,,,,,
754,Passenger Van/Shuttle Bus,EV Star+,,GreenPower Motor Company,Electric,,,,,,,,
755,Van,EV Star Cargo,,GreenPower Motor Company,Electric,,,,,,,,
756,Vocational/Cab ChassisVan,EV Star Cargo+,,GreenPower Motor Company,Electric,,,,,,,,
757,Vocational/Cab Chassis,EV Star CC,,GreenPower Motor Company,Electric,,,,,,,,
758,Refuse,"Front Loader: Half/Pack (including Automated), Half/Pack Freedom, Half/Pack Sierra, Half/Pack Low Rider (including Automated)",,Heil Environmental,CNG - Compressed Natural Gas,,,,,,,,
759,Refuse,"Rear Loader: PowerTrak, PowerTrak Commercial, DuraPack 4060 and 5000, PT 1000, Under CDL Mini Rear Loader",,Heil Environmental,CNG - Compressed Natural Gas,,,,,,,,
760,Refuse,"Side Loader: Command-SST, DuraPack Python and Rapid Rail, Liberty and MultiPack Automated",,Heil Environmental,CNG - Compressed Natural Gas,,,,,,,,
761,Vocational/Cab Chassis,L6 Conventional,,Hino,Biodiesel (B20),,,,,,,,
762,Vocational/Cab Chassis,L7 Conventional,,Hino,Biodiesel (B20),,,,,,,,
763,TractorVocational/Cab Chassis,XL7 Conventional,,Hino,Biodiesel (B20),,,,,,,,
764,TractorVocational/Cab Chassis,XL8 Conventional,,Hino,Biodiesel (B20),,,,,,,,
765,Passenger Van/Shuttle Bus,Carriage ,,Hometown Manufacturing,CNG - Compressed Natural Gas|Propane,,,,,,,,
766,Passenger Van/Shuttle Bus,Commuter,,Hometown Manufacturing,CNG - Compressed Natural Gas,,,,,,,,
767,Passenger Van/Shuttle Bus,Commuter,,Hometown Manufacturing,Electric,,,,,,,,
768,Transit Bus,Mainstreet,,Hometown Manufacturing,CNG - Compressed Natural Gas,,,,,,,,
769,Transit Bus,Mainstreet,,Hometown Manufacturing,Electric,,,,,,,,
770,Transit Bus,Streetcar,,Hometown Manufacturing,Electric,,,,,,,,
771,Passenger Van/Shuttle Bus,Streetcar,,Hometown Manufacturing,Diesel/Hybrid Electric,,,,,,,,
772,Transit Bus,Streetcar,,Hometown Manufacturing,CNG - Compressed Natural Gas,,,,,,,,
773,Transit Bus,Urban,,Hometown Manufacturing,Electric,,,,,,,,
774,Transit Bus,Urban,,Hometown Manufacturing,CNG - Compressed Natural Gas,,,,,,,,
775,Transit Bus,View,,Hometown Manufacturing,Electric,,,,,,,,
776,Transit Bus,View,,Hometown Manufacturing,CNG - Compressed Natural Gas|Propane,,,,,,,,
777,Passenger Van/Shuttle Bus,Villager,,Hometown Manufacturing,Electric,,,,,,,,
778,Passenger Van/Shuttle Bus,Villager,,Hometown Manufacturing,CNG - Compressed Natural Gas|Propane,,,,,,,,
779,School Bus,CE Series,,IC Bus,Propane,,,,,,,,
780,School Bus,Electric CE Series,,IC Bus,Electric,,,,,,,,
781,Vocational/Cab Chassis,eMV,,International,Electric,,,,,,,,
782,Vocational/Cab Chassis,"FTR, FVR",,Isuzu,Biodiesel (B20),,,,,,,,
783,Vocational/Cab Chassis,"NPR-HD, NPR-XD, NQR, NRR",,Isuzu,Biodiesel (B20),,,,,,,,
784,Tractor,Ottawa T2E+,,Kalmar,Electric,,,,,,,,
785,Vocational/Cab Chassis,K270/K370,,Kenworth,Electric,,,,,,,,
786,Vocational/Cab Chassis,T180/T280,,Kenworth,CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,,,,,,,,
787,Tractor,T680,,Kenworth,CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,,,,,,,,
788,Tractor,T680E,,Kenworth,Electric,,,,,,,,
789,Tractor,T880,,Kenworth,LNG - Liquified Natural Gas|CNG - Compressed Natural Gas,,,,,,,,
790,Vocational/Cab Chassis,T880,,Kenworth,CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,,,,,,,,
791,Vocational/Cab Chassis,LION6,,Lion Electric,Electric,,,,,,,,
792,Vocational/Cab Chassis,LION8 - Class 8,,Lion Electric,Electric,,,,,,,,
793,Refuse,LION8 Refuse ASL and REL - Class 8,,Lion Electric,Electric,,,,,,,,
794,Tractor,LION8T - Class 8,,Lion Electric,Electric,,,,,,,,
795,School Bus,LIONA,,Lion Electric,Electric,,,,,,,,
796,School Bus,LIONC,,Lion Electric,Electric,,,,,,,,
797,School Bus,LIOND,,Lion Electric,Electric,,,,,,,,
798,Passenger Van/Shuttle Bus,LIONM,,Lion Electric,Electric,,,,,,,,
799,Tractor,Anthem - Class 8,,Mack,CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,,,,,,,,
800,Refuse,LR,,Mack,LNG - Liquified Natural Gas|CNG - Compressed Natural Gas,,,,,,,,
801,Refuse,LR,,Mack,Electric,,,,,,,,
802,Vocational/Cab Chassis,TerraPro Cab Over,,Mack,CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,,,,,,,,
803,Refuse,TerraPro Cab Over,,Mack,LNG - Liquified Natural Gas|CNG - Compressed Natural Gas,,,,,,,,
804,Transit Bus,D4000 Commuter Coach,,MCI,CNG - Compressed Natural Gas,,,,,,,,
805,Transit Bus,D4000 Hybrid Commuter Coach - Class 8,,MCI,Diesel/Hybrid Electric,,,,,,,,
806,Transit Bus,D4500 Commuter Coach,,MCI,CNG - Compressed Natural Gas,,,,,,,,
807,Transit Bus,D4500 Hybrid Commuter Coach - Class 8,,MCI,Diesel/Hybrid Electric,,,,,,,,
808,Transit Bus,D45 CRT LE CHARGE - Class 8,,MCI,Electric,,,,,,,,
809,Transit Bus,J4500e CHARGE - Class 8,,MCI,Electric,,,,,,,,
810,Refuse,"Front Loaders: Meridian, Atlantic, Contendor - Class 8",,McNeilus,CNG - Compressed Natural Gas,,,,,,,,
811,Refuse,"Rear Loader: Standard, Heavy Duty, Extra Compaction,Tag Axle, Split Body, M2 - Class 8",,McNeilus,CNG - Compressed Natural Gas,,,,,,,,
812,Refuse,"Side Loader: AutoReach, Manual/Automated, Zero Radius - Class 8",,McNeilus,CNG - Compressed Natural Gas,,,,,,,,
